URL,DOI,Abstract
https://doi.org/10.1063/1.2189671,10.1063/1.2189671,"We report terahertz quantum-cascade lasers operating predominantly at 1.90 THz with side modes as low as 1.86 THz ( λ≈161 μm, ℏw=7.7 meV. This is the longest wavelength to date of any solid-state laser that operates without assistance of a magnetic field. Carriers are injected into the upper radiative state by using a single quantum-well injector, which resulted in a significant reduction of free-carrier losses. The laser operated up to a heat-sink temperature of 110 K in pulsed mode, 95 K in continuous wave (cw) mode, and the threshold current density at 5 K was ∼140 A/cm2."
https://doi.org/10.1364/OE.23.019689,10.1364/OE.23.019689,"A 2.1 THz quantum cascade laser (QCL) based on a scatteringassisted injection and resonant-phonon depopulation design scheme is demonstrated. The QCL is based on a four-well period implemented in the GaAs/Al0.15Ga0.85As material system. The QCL operates up to a heat-sink temperature of 144 K in pulsed-mode, which is considerably higher than that achieved for previously reported THz QCLs operating around the frequency of 2 THz. At 46 K, the threshold current-density was measured as ∼745 A/cm2 with a peak-power output of ∼10 mW. Electrically stable operation in a positive differential-resistance regime is achieved by a careful choice of design parameters. The results validate the robustness of scattering-assisted injection schemes for development of low-frequency (n < 2:5 THz) QCLs."
https://doi.org/10.1063/1.1554479,10.1063/1.1554479,"We report the development of a quantum cascade laser, at λ=87.2 mm, corresponding to 3.44 THz or 14.2 meV photon energy. The GaAs/Al0.15Ga0.85As laser structure utilizes longitudinal-optical (LO) phonon scattering for electron depopulation. Laser action is obtained in pulsed mode at temperatures up to 65 K, and at 50% duty cycle up to 29 K. Operating at 5 K in pulsed mode, the threshold current density is 840 A/cm2, and the peak power is approximately 2.5 mW. Based on the relatively high operating temperatures and duty cycles, we propose that direct LO-phonon-based depopulation is a robust method for achieving quantum cascade lasers at long-wavelength THz frequencies."
https://doi.org/10.1063/1.3114418,10.1063/1.3114418,"Resonant-phonon terahertz quantum-cascade lasers operating up to a heat-sink temperature of 186 K are demonstrated. This record temperature performance is achieved based on a diagonal design, with the objective to increase the upper-state lifetime and therefore the gain at elevated temperatures. The increased diagonality also lowers the operating current densities by limiting the flow of parasitic leakage current. Quantitatively, the diagonality is characterized by a radiative oscillator strength that is smaller by a factor of two from the least of any previously published designs. At the lasing frequency of 3.9 THz, 63 mW of peak optical power was measured at 5 K, and approximately 5 mW could still be detected at 180 K."
https://doi.org/10.1063/1.4862177,10.1063/1.4862177,"A Terahertz quantum cascade laser with a rather high injection coupling strength based on an indirectly pumped scheme is designed and experimentally implemented. To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a five-well GaAs=Al0.25Ga0.75As structure. The device lases up to 151 K with a lasing frequency of 2.67 THz. This study shows that the effect of higher energy states in carrier transport and the long-range tunnel coupling between states that belong to non-neighbouring modules have to be considered in quantum design of structures with a narrow injector barrier. Moreover, the effect of interface roughness scattering between the lasing states on threshold current is crucial."
https://doi.org/10.1063/1.3702571,10.1063/1.3702571,"A lasing scheme for terahertz quantum cascade lasers, based on consecutive phonon-photon-phonon emissions per module, is proposed and experimentally demonstrated. The charge transport of the proposed structure is modeled using a rate equation formalism. An optimization code based on a genetic algorithm was developed to find a four-well design in the GaAs/Al0.25Ga0.75As material system that maximizes the product of population inversion and oscillator strength at 150 K. The fabricated devices using Au double-metal waveguides show lasing at 3.2 THz up to 138 K. The electrical characteristics display no sign of differential resistance drop at lasing threshold, which, in conjunction with the low optical power of the device, suggest—thanks to the rate equation model—a slow depopulation rate of the lower lasing state, a hypothesis confirmed by non-equilibrium Green’s function calculations."
https://doi.org/10.1021/acsphotonics.8b01280,10.1021/acsphotonics.8b01280,"Terahertz quantum cascade lasers (QCLs) are excellent coherent light sources, but are still limited to an operating temperature below 200 K. To tackle this, we analyze the influence of the barrier height for the identical three-well terahertz QCL layer sequence by comparing different aluminum concentrations (x = 0.12–0.24) in the GaAs/AlxGa1-xAs material system, and then we present an optimized structure based on these findings. Electron injection and extraction mechanisms as well as LO-phonon depopulation processes play crucial roles in the efficient operation of these lasers and are investigated in this study. Experimental results of the barrier height study show the highest operating temperature of 186.5 K for the structure with 21% aluminum barriers, with a record kBTmax/ℏω value of 1.36 for a three-well active region design. An optimized heterostructure with 21% aluminum concentration and reduced cavity waveguide losses is designed and enables a record operating temperature of 196 K for a 3.8 THz QCL."
https://doi.org/10.1063/1.4983030,10.1063/1.4983030,"The dynamical tuning due to rear facet illumination of single-mode, terahertz (THz) quantum-cascade lasers (QCLs) which employ distributed feedback gratings are compared to the tuning of single-mode QCLs based on two-section cavities. The THz QCLs under investigation emit in the range of 3 to 4.7 THz. The tuning is achieved by illuminating the rear facet of the QCL with a fiber-coupled light source emitting at 777 nm. Tuning ranges of 5.0 and 11.9 GHz under continuous-wave and pulsed operation, respectively, are demonstrated for a single-mode, two-section cavity QCL emitting at about 3.1 THz, which exhibits a side-mode suppression ratio better than 25 dB."
https://doi.org/10.1088/0256-307X/30/6/064201,10.1088/0256-307X/30/6/064201,"We demonstrate continuous-wave (cw) operation of terahertz (THz) quantum cascade lasers emitting at 3.2 THz based on bound-to-continuum active region and semi-insulating surface-plasmon waveguide design. Optical power of 62mW with a threshold current density of 285 A/cm2 is obtained at 10K from a 130-𝜇m-wide and 1.5-mm-long laser in cw operation. Maximum cw operation temperature is up to 60 K. In pulsed mode, peak optical power more than 100mW at 10K and 2.1mW at 85K are observed from a 230-𝜇m-wide and 2-mm-long device."
https://doi.org/10.1088/1361-6641/abdd4b,10.1088/1361-6641/abdd4b,"We have investigated the emission frequency of terahertz (THz) quantum-cascade lasers (QCLs) as a function of the location on the wafer. The frequency varies due to an inhomogeneous growth rate across the wafer. For three wafers based on GaAs/AlAs heterostructures for lasers with target frequencies of 3.36 and 3.92 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer. This blue shift is attributed to a decrease of the period length of the QCLs, which can be determined with spectroscopic techniques. The location-dependent period length is used to calculate a position-dependent frequency of the gain maximum for the active region. The correlation of the calculated frequencies with the emission frequencies of lasers fabricated from different locations on the wafer allows us to establish an effective method for the fabrication of THz QCLs emitting at a particular target frequency."
https://doi.org/10.1088/1757-899X/475/1/012020,10.1088/1757-899X/475/1/012020,"We have designed multilayer heterostructure (MH) based on three quantum well GaAs/Al0.15Ga0.85As active module with diagonal transitions and optimized oscillator strength – 0.425. Furthermore, we have developed a method for the fabrication of terahertz quantum cascade laser (THz QCL) with double metal waveguide via low-temperature In-Au wafer bonding followed by SI-GaAs substrate removal. ICP RIE in BCl3/Ar has been used to obtain laser ridges (widths 50-200 mkm) with vertical sidewalls. We investigate the dependence of the MH energy band structure on the electric field and thermal properties of terahertz quantum cascade lasers (THz QCL) under different operation conditions."
https://doi.org/10.1364/OE.26.009194,10.1364/OE.26.009194,"A dual lasing channel Terahertz Quantum Cascade laser (THz QCL) based on GaAs/Al0.17Ga0.83As material system is demonstrated. The device shows the lowest reported threshold current density (550A/cm2 at 50K) of GaAs/AlxGa1-xAs material system based scattering-assisted (SA) structures and operates up to a maximum lasing temperature of 144K. Dual lasing channel operation is investigated theoretically and experimentally. The combination of low frequency emission, dual lasing channel operation, low lasing threshold current density and high temperature performance make such devices ideal candidates for low frequency applications, and initiates the design strategy for achieving high-temperature performance terahertz quantum cascade laser with wide frequency coverage at low frequency."
https://doi.org/10.1021/acsphotonics.6b00750,10.1021/acsphotonics.6b00750,"We report on the operation of a double metal waveguide far-infrared quantum cascade laser emitting at 28 μm, corresponding to the AlAs-like phonon reststrahlen band. To avoid absorption by AlAs-like optical phonons, the Al-free group V alloy GaAs0.51Sb0.49 is used as a barrier layer in the bound-to continuum- based active region. Lasing occurs at a wavelength of 28.3 μm, which is the longest wavelength among the quantum cascade lasers operating from mid-infrared to far-infrared. The threshold current density at 50 K is 5.5 kA/cm2, and maximum operation temperature is 175 K. We also discuss the feasibility that the operation wavelength can cover the whole spectral range bridging between mid-infrared and terahertz by choosing properly suited group III−V materials."
https://doi.org/10.1063/5.0198236,10.1063/5.0198236,"A band design of a quantum cascade laser with a generation frequency higher than 6 THz and an active region based on four GaAs/Al0.14Ga0.86As quantum wells is proposed. Calculations were carried out based on the solution of the Schrödinger equation taking into account the dephasing of quantum states, as well as a closed system of balance equations. The temperature dependences of the gain at frequencies of 6.3–6.6 THz were calculated for the proposed quantum cascade laser with a double metal waveguide. Features of the proposed laser structure include two injection quantum wells and the suppression of non-radiative transitions between laser levels. According to calculations, this provides the maximum operating temperature of up to 81 K at 6.4 THz. The results of this study open up the way for quantum cascade lasers based on GaAs/AlGaAs to operate at frequencies above 6 THz."
https://doi.org/10.1088/1367-2630/18/12/123004,10.1088/1367-2630/18/12/123004,"GaAs/AlGaAs quantum cascade lasers based on four quantum well structures operating at 4.7 THz are reported. A large current density dynamic range is observed, leading to a maximum operation temperature of 150 Kfor the double metal waveguide device and a high peak output power more than 200mWfor the single surface plasmon waveguide device. Acontinuous wave, single mode, third order distributed feedback laser with a low electrical power dissipation and a narrow far-field beam pattern, which is required for a local oscillator in astronomy heterodyne spectrometers, is also demonstrated."
https://doi.org/10.1063/1.4766915,10.1063/1.4766915,"We report on the demonstration of a maximum operating temperature of 142 K for InGaAs-based terahertz quantum cascade lasers. This result is achieved by using the alternative material combination In0.53Ga0.47As/GaAs0.51Sb0.49, lattice-matched to InP, which exhibits fabrication advantages over standard In0.53Ga0.47As/In0.52Al0.48As due to more suitable material parameters. An active region, based on a three-well phonon depletion design, with improved injection and extraction tunneling coupling, was designed. The devices exhibit threshold current densities of 0.75 kA/cm2 and provide peak optical powers up to 9mW. A broad spectral emission range between 3.3 and 4 THz is measured."
https://doi.org/10.1063/1.4826943,10.1063/1.4826943,"We increased the active region/waveguide thickness of terahertz quantum cascade lasers with semi-insulating surface plasmon waveguides by stacking two symmetric active regions on top of each other, via a direct wafer bonding technique. In this way, we enhance the generated optical power in the cavity and the mode confinement. We achieved 470 mW peak output power in pulsed mode from a single facet at a heat sink temperature of 5K and a maximum operation temperature of 122 K. Furthermore, the devices show a broad band emission spectrum over a range of 420GHz, centered around 3.9 THz."
https://doi.org/10.1088/1674-1056/25/8/084206,10.1088/1674-1056/25/8/084206,"We demonstrate continuous-wave (CW) high power-efficiency terahertz quantum cascade laser based on semiinsulating surface-plasmon waveguide with epitaxial-side down (Epi-down) mounting process. The performance of the device is analyzed in detail. The laser emits at a frequency of ∼3.27 THz and has a maximum CW operating temperature of ∼70 K. The peak output powers are 177 mW in pulsed mode and 149 mW in CW mode at 10 K for 130-μm-wide Epi-down mounted lasers. The record wall-plug efficiencies in direct measurement are 2.26% and 2.05% in pulsed and CW mode, respectively."
https://doi.org/10.1109/IRMMW-THz.2013.6665537,10.1109/IRMMW-THz.2013.6665537,"We present a terahertz quantum cascade laser providing 875 mW two-facet output power in pulsed mode, at a frequency around 4.7 THz and at a heatsink temperature of 10 K. The laser has a single plasmon waveguide. The active region is based on four quantum wells with longitudinal optical phonon extraction."
https://doi.org/10.1021/acsphotonics.7b00009,10.1021/acsphotonics.7b00009,"We report on high-power terahertz quantum cascade lasers based on low effective electron mass InGaAs/InAlAs semiconductor heterostructures with excellent reproducibility. Growth-related asymmetries in the form of interface roughness and dopant migration play a crucial role in this material system. These bias polarity dependent phenomena are studied using a nominally symmetric active region resulting ina preferential electron transport in the growth direction. A structure based on a three-well optical phonon depletion scheme was optimized for this bias direction. Depending on the sheet doping density, the performance of this structure shows a trade-off between high maximum operating temperature and high output power. While the highest operating temperature of 155 K is observed for a moderate sheet doping density of 2 × 1010 cm−2, the highest peak output power of 151 mW is found for 7.3 × 1010 cm−2. Furthermore, by abutting a hyperhemispherical GaAs lens to a device with the highest doping level a record output power of 587 mW is achieved for doublemetal waveguide structures."
https://doi.org/10.1063/1.4959195,10.1063/1.4959195,"Terahertz quantum cascade lasers with a record output power up to ∼0.23 W in continuous wave mode were obtained. We show that the optimal 2.9-mm-long device operating at 3.11 THz has a low threshold current density of 270 A/cm2 at ∼15 K. The maximum operating temperature arrived at ∼65 K in continuous wave mode and the internal quantum efficiencies decreased from 0.53 to 0.19 for the devices with different cavity lengths. By using one convex lens with the effective focal length of 13 mm, the beam profile was collimated to be a quasi Gaussian distribution."
https://doi.org/10.1109/LPT.2022.3181242,10.1109/LPT.2022.3181242,"High-power terahertz frequency quantum cascade lasers operating in both pulsed and continuous wave (CW) modes are demonstrated. High Al composition four quantum wells active region based on diagonal structure are employed to suppress the escape of electrons into continuum and thermally activated LO-phonon scattering, as evidenced by the activation energy value of 14.4 meV extracted from the experimental data. The devices operate in a frequency range of 3.8 - 4.05 THz and have a pulsed maximum operating temperature of  119 K. The total optical output power from an uncoated laser is 1.57 W and the maximum single-facet emission power from an HR coated one is 1.03 W in pulsed mode at 7 K. The maximum output power of 256 mW is obtained by a 2.5-mm-long device operating in CW mode with a low threshold current density of 188.6 A/cm2 at 15 K."
https://doi.org/10.1016/j.pquantelec.2021.100363,10.1016/j.pquantelec.2021.100363,"We report the demonstration of terahertz QCLs based on a two-phonon depopulation scheme, intended to improve the high-temperature performance, and also the demonstration of QCLs emitting 250 mW in pulsed mode at 4.3 THz."
https://doi.org/10.1063/1.4939551,10.1063/1.4939551,"We demonstrate terahertz lasing emission from a quantum cascade structure, realized with InAs/AlAs0.16Sb0.84 heterostructures. Due to the lower effective electron mass, InAs based active regions are expected to provide a higher optical gain compared to structures consisting of GaAs or InGaAs. The growth by molecular beam epitaxy enabled the fabrication of monolayer-thick barriers, required for the active region, which is based on a 3-well resonant phonon depletion design. Devices were processed in a double-metal waveguide geometry to ensure high mode confinement and low optical losses. Lasing emission at 3.8 THz was observed at liquid helium temperatures by applying a magnetic field perpendicular to the layered structure in order to suppress parasitic scattering channels. These results demonstrate the feasibility of InAs based active regions for terahertz quantum cascade lasers, potentially enabling higher operating temperatures."
https://doi.org/10.1088/1367-2630/17/2/023050,10.1088/1367-2630/17/2/023050,"Terahertz quantum cascade lasers based on InGaAs wells and quaternary AlInGaAs barriers were measured in magnetic field. This study was carried out on a four-quantum-well active-region design with photon energy of 14.3 meV processed with both Au and Cu waveguides. The heterostructure operates up to 148Kat B = 0 T in a Cu waveguide. The complete magneto-spectroscopic study allowed the comparison of emission and transport data. Increasing the magnetic field, the low effective mass of the InGaAs wells allowed us to reach the very strong confinement regime. At B = 12 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 195Kfor the devices with Cu waveguide. Additional lasing at 5.9 meV was detected for magnetic fields between 7.3 and 7.7 T."
